"1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010"
"1076500" 14.6631376323388 6.21745788667688 16.1879152167036 11.4434105172041 15.3993140617344 21.0196616369456 12.2884882108183 8.925395256917 10.0891861761427 15.2229299363057 34.2892561983471 30.5683355886333 11.3047711781889 7.78582514226591 12.3790849673203 14.6834992887624 11.6196136701337 7.59722897423432 10.0096665055582 9.21259842519685
"1078000" 23.6814814814815 10.5615384615385 26.8734693877551 19.2760736196319 37.7005988023952 35.3052631578947 27.1822033898305 13.2794612794613 24.8562091503268 25.55 84.0926640926641 56.4476386036961 24.7361963190184 12.2702702702703 29.6728110599078 17.1285347043702 31.0604651162791 9.23127463863338 12.868501529052 41.295652173913
"1081000" 4.6015625 4.05251951738822 7.34244160423094 4.4182776801406 4.74303135888502 11.5860215053763 5.39483394833948 7.05062362435803 5.38805363673304 9.80202578268877 6.92422731804586 11.5719063545151 6.99604743083004 4.36793785310735 10.3093580819799 10.0441944556047 9.1067117334621 5.69394024015638 4.64186563020544 8.37882547559967
"1089100" 16.9236641221374 9.1271186440678 36.9913793103448 19.4733727810651 34.7298919567827 35.6186440677966 33.3543307086614 32.9328358208955 23.1076923076923 12.6714801444043 36.4251968503937 24.3256997455471 16.2908163265306 11.0029325513196 31.5247524752475 26.6785714285714 21.065306122449 8.15013774104683 6.37811900191939 64.3972602739726
"1092000" 9.70562770562771 4.24785461887935 21.638141809291 10.8106435643564 17.0271696122395 14.6509671993272 12.2027027027027 11.2340105342363 10.7757009345794 10.2105896510229 20.5623698218005 12.3019994806544 10.6033182503771 6.03798014674148 12.6001271455817 12.291917973462 14.1046425939573 8.07112485504445 5.54963864587296 16.9433886777355
"1094400" 7.39189189189189 6.26984126984127 30.2374100719424 10.2166064981949 29.1236494597839 18.4030612244898 20.8895705521472 26.7086614173228 29.4206257242178 5.68211920529801 28.7183098591549 16.4607329842932 10.8157894736842 13.690036900369 26.6802721088435 7.51162790697674 22.3351955307263 8.49882903981264 8.03780068728522 82.3442808607022
"1094500" 6.1461038961039 4.51919866444073 21.3753424657534 8.08076358296623 12.1349693251534 13.7185185185185 15.9718309859155 15.6421800947867 13.5422740524781 6.68170103092784 21.326409495549 10.2649006622517 8.67811158798283 15.2631578947368 15.8810572687225 5.9613196814562 14.7090909090909 7.63572267920094 6.17094017094017 32.3743016759777
"1096000" 11.5673076923077 9.10222222222222 32.7445255474453 12.8897959183673 33.4752747252747 21.2388888888889 27.5071428571429 27.6423357664234 33.5623409669211 9.67731629392971 31.5555555555556 22.6522842639594 11.7709923664122 18.5375 25.9285714285714 11.1454545454545 27.8875 8.27586206896552 7.85031847133758 88.0317040951123
"1096500" 7.21809588116138 5.39220779220779 23.8768115942029 9.54354354354354 13.0811518324607 12.2784810126582 16.6468085106383 15.7761437908497 15.4402102496715 7.39980449657869 21.8690601900739 11.7859195402299 3.95856662933931 7.03257790368272 13.2901751713633 3.89835018626929 16.9296210363496 8.1508739650414 3.95309409437694 30.1981981981982
"10965852" 12.3304347826087 11.0185185185185 145.9375 34.7102342786683 26.4874551971326 36.9817578772803 81.8450184501845 58.1642512077295 101.315789473684 18.353982300885 63.953488372093 47.4329501915709 20.0280373831776 19.3137254901961 42.8392857142857 28.8560606060606 66.5271966527197 7.48633879781421 16.4385964912281 149.759036144578
"1097000" 9.08498583569405 4.82960413080895 24.5331230283912 15.4246575342466 17.9130434782609 6.50699300699301 25.8611111111111 18.4531722054381 20.9157894736842 11.1186813186813 34.6011235955056 17.4263157894737 6.36052631578947 10.4179566563467 17.9737609329446 7.10909090909091 29.4810606060606 6.57625482625483 4.54494382022472 47.7314814814815
"1097300" 27.1532846715328 9.87616099071207 218.037135278515 29.3536121673004 66.4772727272727 13.6460554371002 105.027932960894 60.0635593220339 472.368421052632 10.1573033707865 89.3129770992366 177.837837837838 11.3563218390805 35.5980861244019 41.5555555555556 17.1428571428571 74.8496993987976 9.43152454780362 7.20930232558139 1260.82474226804
"1098530" 7.91822429906542 8.93922651933702 65.2844036697248 26.4310344827586 33.3389830508475 10.1309734513274 58.7486744432662 28.7817258883249 33.1775700934579 24.2983425414365 76.9033047735618 14.7991071428571 5.06820809248555 6.57741559953434 26.5868544600939 10.6719367588933 52.2076923076923 7.0580310880829 3.92088888888889 103.366336633663
"1099500" 10.0365296803653 4.95695514272768 40.8815028901734 15.9001636661211 26.6937119675456 7.74989544123798 29.7118155619597 18.852157943067 29.8601398601399 11.0610932475884 36.3449367088608 23.027139874739 6.92097026604069 9.34736842105263 18.1560283687943 8.08415032679738 33.1204644412192 7.35515548281506 3.58895705521472 53.0815709969788
"1100000" 8.27650340979541 3.97745571658615 23.7856071964018 10.0387263339071 17.9975175837815 10.9905020352782 14.1514648977336 11.803833145434 13.3060556464812 9.59817729908865 17.095926412615 11.5370196813496 8.10863618601016 6.69119811598469 11.8902169101372 10.4118307749906 17.4880952380952 7.32270478284772 5.10763710917478 25.2173913043478
"1100600" 7.17592592592593 6.84090909090909 22.4692874692875 25.0473612990528 19.453125 10.9197860962567 26.8256880733945 12.2543352601156 19.3211009174312 8.24285714285714 39.7431781701445 19.115523465704 6.703125 7.86100386100386 24.8478260869565 10.938202247191 21.5957446808511 5.43613707165109 4.10791366906475 59.3564356435644
